# Wavenumber,Transmittence
548.00,0.628080
518.00,0.960580
443.00,0.848700
473.00,0.949980
553.00,0.604740
428.00,0.849780
528.00,0.950260
413.00,0.809500
533.00,0.923380
513.00,0.964220
493.00,0.950040
408.00,0.783920
403.00,0.771160
448.00,0.874140
433.00,0.846880
453.00,0.898200
543.00,0.757220
488.00,0.943380
423.00,0.840660
523.00,0.955580
418.00,0.825480
558.00,0.696380
468.00,0.949560
498.00,0.963340
508.00,0.967200
458.00,0.922520
438.00,0.838800
483.00,0.942020
503.00,0.969080
463.00,0.942020
538.00,0.876660
478.00,0.945800
