# Wavenumber Transmittence
1368.00 0.236680
1358.00 0.439920
1473.00 0.267720
1398.00 0.439500
1453.00 0.000200
1413.00 0.200640
1383.00 0.464820
1343.00 0.440060
1363.00 0.366740
1443.00 0.012640
1318.00 0.579540
1458.00 0.000080
1378.00 0.265000
1323.00 0.586300
1338.00 0.440960
1438.00 0.016860
1373.00 0.080600
1418.00 0.199220
1328.00 0.562720
1348.00 0.451640
1448.00 0.005400
1463.00 0.000100
1408.00 0.165780
1428.00 0.047040
1403.00 0.295640
1423.00 0.112960
1468.00 0.087700
1353.00 0.469620
1333.00 0.488520
1393.00 0.505780
1313.00 0.579980
1433.00 0.019100
1388.00 0.508960
