# Wavenumber,Transmittence
808.00,0.737280
883.00,0.189000
878.00,0.233460
838.00,0.702940
928.00,0.292200
823.00,0.764060
953.00,0.488880
988.00,0.005060
978.00,0.050020
913.00,0.008100
868.00,0.530020
803.00,0.781540
908.00,0.000000
813.00,0.723640
828.00,0.769880
853.00,0.638460
938.00,0.454160
923.00,0.205800
893.00,0.028740
963.00,0.312000
793.00,0.785800
943.00,0.503620
973.00,0.133100
898.00,0.006620
843.00,0.665360
833.00,0.757620
863.00,0.605760
918.00,0.099720
948.00,0.519780
968.00,0.222560
933.00,0.378700
818.00,0.735980
958.00,0.401440
903.00,0.000000
858.00,0.629780
983.00,0.013940
798.00,0.795320
888.00,0.096820
873.00,0.375400
848.00,0.647340
