# Wavenumber	Transmittence
2088.00	0.925120
1998.00	0.915720
2073.00	0.922780
2018.00	0.911180
2038.00	0.906980
1983.00	0.875900
2083.00	0.922820
2113.00	0.927600
2043.00	0.909340
2028.00	0.905180
2053.00	0.915580
2098.00	0.927620
2108.00	0.927700
1963.00	0.878940
1988.00	0.891940
1958.00	0.901060
2048.00	0.912360
2003.00	0.918560
2023.00	0.906180
2078.00	0.922700
2068.00	0.922760
2008.00	0.917460
2103.00	0.927700
2058.00	0.919000
2093.00	0.927340
2063.00	0.921600
2123.00	0.926480
1953.00	0.919660
1993.00	0.909320
2033.00	0.905620
1978.00	0.866360
2118.00	0.927280
1973.00	0.857800
1968.00	0.860600
2013.00	0.914840
