# Wavenumber	Transmittence
3493.00	0.932220
3483.00	0.931900
3528.00	0.934700
3458.00	0.932060
3558.00	0.938460
3538.00	0.935560
3573.00	0.935020
3588.00	0.925720
3543.00	0.936060
3463.00	0.932000
3473.00	0.931980
3478.00	0.931900
3608.00	0.910100
3533.00	0.935100
3498.00	0.932520
3513.00	0.933420
3488.00	0.931960
3583.00	0.929280
3598.00	0.917520
3548.00	0.937060
3593.00	0.921600
3553.00	0.938140
3518.00	0.933800
3468.00	0.932000
3568.00	0.936400
3508.00	0.933120
3563.00	0.937400
3503.00	0.932820
3603.00	0.913620
3523.00	0.934200
3578.00	0.932220
