# Wavenumber	Transmittence
583.00	0.903520
438.00	0.838800
608.00	0.719520
558.00	0.696380
408.00	0.783920
553.00	0.604740
548.00	0.628080
513.00	0.964220
578.00	0.897060
478.00	0.945800
463.00	0.942020
563.00	0.766400
508.00	0.967200
458.00	0.922520
523.00	0.955580
543.00	0.757220
493.00	0.950040
568.00	0.813040
603.00	0.802140
448.00	0.874140
418.00	0.825480
433.00	0.846880
443.00	0.848700
533.00	0.923380
613.00	0.568440
468.00	0.949560
618.00	0.423320
503.00	0.969080
488.00	0.943380
528.00	0.950260
538.00	0.876660
588.00	0.899200
403.00	0.771160
598.00	0.850040
413.00	0.809500
593.00	0.880000
498.00	0.963340
518.00	0.960580
428.00	0.849780
423.00	0.840660
453.00	0.898200
483.00	0.942020
473.00	0.949980
573.00	0.869620
