# Wavenumber,Transmittence
648.00,0.473640
673.00,0.833600
643.00,0.355060
638.00,0.240280
753.00,0.607920
608.00,0.719520
683.00,0.867400
603.00,0.802140
743.00,0.669540
748.00,0.661460
658.00,0.696980
668.00,0.794980
788.00,0.766380
703.00,0.795620
653.00,0.606540
778.00,0.796080
758.00,0.619080
698.00,0.837460
763.00,0.679900
708.00,0.682300
613.00,0.568440
628.00,0.200780
693.00,0.856040
793.00,0.785800
733.00,0.492340
688.00,0.866820
663.00,0.734280
678.00,0.856640
618.00,0.423320
728.00,0.314140
768.00,0.742980
598.00,0.850040
773.00,0.789160
623.00,0.278580
783.00,0.774300
723.00,0.167980
718.00,0.282020
633.00,0.192220
713.00,0.475280
738.00,0.642620
