# Wavenumber	Transmittence
813.00	0.723640
628.00	0.200780
693.00	0.856040
823.00	0.764060
623.00	0.278580
743.00	0.669540
763.00	0.679900
808.00	0.737280
708.00	0.682300
783.00	0.774300
643.00	0.355060
613.00	0.568440
768.00	0.742980
748.00	0.661460
758.00	0.619080
718.00	0.282020
658.00	0.696980
633.00	0.192220
678.00	0.856640
688.00	0.866820
778.00	0.796080
798.00	0.795320
713.00	0.475280
698.00	0.837460
638.00	0.240280
618.00	0.423320
738.00	0.642620
603.00	0.802140
683.00	0.867400
668.00	0.794980
653.00	0.606540
733.00	0.492340
818.00	0.735980
703.00	0.795620
663.00	0.734280
608.00	0.719520
723.00	0.167980
728.00	0.314140
648.00	0.473640
793.00	0.785800
788.00	0.766380
598.00	0.850040
803.00	0.781540
673.00	0.833600
753.00	0.607920
773.00	0.789160
