# Wavenumber	Transmittence
938.00	0.454160
838.00	0.702940
823.00	0.764060
808.00	0.737280
798.00	0.795320
833.00	0.757620
958.00	0.401440
843.00	0.665360
923.00	0.205800
913.00	0.008100
943.00	0.503620
898.00	0.006620
813.00	0.723640
818.00	0.735980
903.00	0.000000
868.00	0.530020
893.00	0.028740
933.00	0.378700
848.00	0.647340
858.00	0.629780
863.00	0.605760
803.00	0.781540
908.00	0.000000
918.00	0.099720
828.00	0.769880
853.00	0.638460
878.00	0.233460
948.00	0.519780
888.00	0.096820
953.00	0.488880
883.00	0.189000
873.00	0.375400
928.00	0.292200
