# Wavenumber	Transmittence
3308.00	0.924260
3323.00	0.920920
3428.00	0.925820
3418.00	0.925060
3328.00	0.920380
3453.00	0.931280
3398.00	0.926720
3393.00	0.926660
3348.00	0.920800
3318.00	0.922180
3303.00	0.924900
3383.00	0.925020
3458.00	0.932060
3363.00	0.922500
3368.00	0.923000
3423.00	0.924900
3388.00	0.925860
3408.00	0.926000
3338.00	0.919920
3443.00	0.929040
3333.00	0.920120
3373.00	0.923500
3343.00	0.920200
3358.00	0.921920
3298.00	0.924920
3433.00	0.926900
3438.00	0.927960
3378.00	0.924160
3448.00	0.930160
3313.00	0.923400
3403.00	0.926380
3353.00	0.921340
3413.00	0.925500
