# Wavenumber,Transmittence
713.00,0.475280
708.00,0.682300
778.00,0.796080
693.00,0.856040
733.00,0.492340
813.00,0.723640
833.00,0.757620
768.00,0.742980
728.00,0.314140
703.00,0.795620
788.00,0.766380
718.00,0.282020
808.00,0.737280
823.00,0.764060
688.00,0.866820
773.00,0.789160
683.00,0.867400
678.00,0.856640
753.00,0.607920
793.00,0.785800
803.00,0.781540
818.00,0.735980
668.00,0.794980
748.00,0.661460
658.00,0.696980
783.00,0.774300
673.00,0.833600
663.00,0.734280
743.00,0.669540
798.00,0.795320
698.00,0.837460
738.00,0.642620
828.00,0.769880
723.00,0.167980
758.00,0.619080
763.00,0.679900
