# Wavenumber Transmittence
693.00 0.856040
808.00 0.737280
748.00 0.661460
883.00 0.189000
823.00 0.764060
858.00 0.629780
803.00 0.781540
728.00 0.314140
873.00 0.375400
853.00 0.638460
843.00 0.665360
903.00 0.000000
743.00 0.669540
888.00 0.096820
813.00 0.723640
783.00 0.774300
683.00 0.867400
923.00 0.205800
708.00 0.682300
703.00 0.795620
768.00 0.742980
798.00 0.795320
818.00 0.735980
908.00 0.000000
733.00 0.492340
713.00 0.475280
833.00 0.757620
898.00 0.006620
918.00 0.099720
738.00 0.642620
698.00 0.837460
773.00 0.789160
828.00 0.769880
848.00 0.647340
838.00 0.702940
868.00 0.530020
778.00 0.796080
763.00 0.679900
893.00 0.028740
788.00 0.766380
753.00 0.607920
718.00 0.282020
688.00 0.866820
758.00 0.619080
878.00 0.233460
913.00 0.008100
863.00 0.605760
793.00 0.785800
723.00 0.167980
