# Wavenumber Transmittence
1158.00 0.764820
1103.00 0.594500
1108.00 0.561260
1188.00 0.729740
1123.00 0.705980
1148.00 0.728900
1223.00 0.729260
1118.00 0.662200
1153.00 0.750840
1238.00 0.764300
1183.00 0.748240
1198.00 0.737460
1208.00 0.733820
1193.00 0.729540
1163.00 0.782640
1113.00 0.605700
1228.00 0.770480
1128.00 0.698740
1203.00 0.731200
1143.00 0.690740
1178.00 0.773920
1218.00 0.708200
1168.00 0.795920
1173.00 0.793660
1138.00 0.672820
1213.00 0.736500
1233.00 0.777460
1133.00 0.672480
