# Wavenumber,Transmittence
2443.00,0.908580
2453.00,0.912080
2343.00,0.886860
2463.00,0.913180
2393.00,0.910800
2383.00,0.904940
2363.00,0.889240
2358.00,0.887740
2448.00,0.910380
2378.00,0.899380
2323.00,0.892460
2433.00,0.904540
2473.00,0.910300
2333.00,0.888080
2418.00,0.903880
2468.00,0.912360
2388.00,0.909000
2423.00,0.903180
2368.00,0.891440
2338.00,0.887380
2408.00,0.907160
2328.00,0.889860
2318.00,0.895560
2458.00,0.913000
2373.00,0.895280
2413.00,0.905240
2403.00,0.908920
2398.00,0.910280
2348.00,0.886980
2438.00,0.906560
2353.00,0.887220
2428.00,0.903460
