# Wavenumber	Transmittence
1353.00	0.469620
1323.00	0.586300
1228.00	0.770480
1328.00	0.562720
1303.00	0.548680
1358.00	0.439920
1258.00	0.627020
1308.00	0.586120
1288.00	0.507500
1338.00	0.440960
1243.00	0.732320
1213.00	0.736500
1223.00	0.729260
1178.00	0.773920
1148.00	0.728900
1283.00	0.564080
1203.00	0.731200
1168.00	0.795920
1293.00	0.487600
1298.00	0.497280
1318.00	0.579540
1153.00	0.750840
1238.00	0.764300
1193.00	0.729540
1313.00	0.579980
1233.00	0.777460
1348.00	0.451640
1173.00	0.793660
1268.00	0.603100
1208.00	0.733820
1378.00	0.265000
1218.00	0.708200
1253.00	0.672620
1363.00	0.366740
1368.00	0.236680
1263.00	0.585940
1373.00	0.080600
1158.00	0.764820
1343.00	0.440060
1278.00	0.623640
1273.00	0.638200
1248.00	0.699680
1163.00	0.782640
1188.00	0.729740
1198.00	0.737460
1333.00	0.488520
1183.00	0.748240
