# Wavenumber Transmittence
548.00 0.628080
463.00 0.942020
488.00 0.943380
518.00 0.960580
523.00 0.955580
563.00 0.766400
593.00 0.880000
483.00 0.942020
503.00 0.969080
598.00 0.850040
533.00 0.923380
588.00 0.899200
568.00 0.813040
473.00 0.949980
453.00 0.898200
583.00 0.903520
468.00 0.949560
543.00 0.757220
438.00 0.838800
508.00 0.967200
458.00 0.922520
553.00 0.604740
558.00 0.696380
573.00 0.869620
528.00 0.950260
448.00 0.874140
578.00 0.897060
493.00 0.950040
478.00 0.945800
443.00 0.848700
498.00 0.963340
513.00 0.964220
538.00 0.876660
