# Wavenumber Transmittence
883.00 0.189000
778.00 0.796080
863.00 0.605760
858.00 0.629780
868.00 0.530020
833.00 0.757620
828.00 0.769880
758.00 0.619080
793.00 0.785800
823.00 0.764060
878.00 0.233460
843.00 0.665360
763.00 0.679900
748.00 0.661460
818.00 0.735980
873.00 0.375400
838.00 0.702940
813.00 0.723640
893.00 0.028740
798.00 0.795320
753.00 0.607920
903.00 0.000000
743.00 0.669540
853.00 0.638460
773.00 0.789160
768.00 0.742980
898.00 0.006620
728.00 0.314140
783.00 0.774300
733.00 0.492340
848.00 0.647340
808.00 0.737280
803.00 0.781540
888.00 0.096820
738.00 0.642620
788.00 0.766380
