# Wavenumber	Transmittence
3248.00	0.901860
3233.00	0.899580
3113.00	0.733960
3148.00	0.785800
3333.00	0.920120
3178.00	0.811160
3288.00	0.924060
3188.00	0.829000
3213.00	0.877380
3173.00	0.806300
3128.00	0.763820
3343.00	0.920200
3278.00	0.921440
3263.00	0.902140
3238.00	0.901400
3268.00	0.910820
3308.00	0.924260
3208.00	0.869780
3348.00	0.920800
3158.00	0.794300
3123.00	0.755640
3323.00	0.920920
3253.00	0.900520
3313.00	0.923400
3283.00	0.923060
3293.00	0.924660
3163.00	0.798300
3118.00	0.746340
3318.00	0.922180
3168.00	0.802300
3133.00	0.770080
3303.00	0.924900
3353.00	0.921340
3258.00	0.899220
3228.00	0.895180
3218.00	0.883900
3198.00	0.851660
3138.00	0.776260
3298.00	0.924920
3358.00	0.921920
3143.00	0.781380
3153.00	0.790220
3203.00	0.861000
3223.00	0.889800
3193.00	0.842300
3328.00	0.920380
3338.00	0.919920
3273.00	0.918280
3183.00	0.817680
3243.00	0.901860
