# Wavenumber	Transmittence
1218.00	0.708200
1148.00	0.728900
1153.00	0.750840
1118.00	0.662200
1233.00	0.777460
1213.00	0.736500
1098.00	0.662220
1188.00	0.729740
1208.00	0.733820
1193.00	0.729540
1163.00	0.782640
1143.00	0.690740
1198.00	0.737460
1113.00	0.605700
1123.00	0.705980
1103.00	0.594500
1168.00	0.795920
1128.00	0.698740
1223.00	0.729260
1093.00	0.716120
1228.00	0.770480
1138.00	0.672820
1203.00	0.731200
1178.00	0.773920
1133.00	0.672480
1183.00	0.748240
1173.00	0.793660
1158.00	0.764820
1108.00	0.561260
