# Wavenumber,Transmittence
3628.00,0.910420
3693.00,0.907880
3638.00,0.910500
3668.00,0.912680
3698.00,0.908800
3653.00,0.912660
3623.00,0.907840
3633.00,0.911860
3618.00,0.907220
3743.00,0.902380
3673.00,0.912480
3658.00,0.913180
3688.00,0.908480
3728.00,0.904760
3738.00,0.897360
3713.00,0.913640
3678.00,0.911820
3608.00,0.910100
3663.00,0.912920
3613.00,0.907420
3733.00,0.897780
3718.00,0.913340
3683.00,0.910140
3703.00,0.910520
3648.00,0.909420
3708.00,0.912760
3643.00,0.909000
3723.00,0.910440
