# Wavenumber	Transmittence
1848.00	0.892980
1758.00	0.917680
1898.00	0.916580
1843.00	0.875260
1913.00	0.924740
1738.00	0.909520
1803.00	0.619460
1823.00	0.628660
1878.00	0.908780
1918.00	0.925340
1818.00	0.456060
1723.00	0.895780
1868.00	0.914840
1743.00	0.912520
1798.00	0.783180
1728.00	0.900280
1778.00	0.906720
1733.00	0.903820
1768.00	0.917640
1888.00	0.905620
1893.00	0.909760
1813.00	0.409300
1718.00	0.891240
1808.00	0.460740
1788.00	0.887320
1853.00	0.904820
1748.00	0.912740
1923.00	0.927740
1793.00	0.863300
1863.00	0.915320
1833.00	0.799260
1783.00	0.899780
1903.00	0.923560
1838.00	0.845420
1858.00	0.915280
1753.00	0.914400
1773.00	0.914020
1908.00	0.925380
1763.00	0.918620
1828.00	0.731060
1873.00	0.914480
1883.00	0.905060
