# Wavenumber,Transmittence
1558.00,0.790680
1678.00,0.837220
1578.00,0.835840
1648.00,0.442200
1563.00,0.814220
1608.00,0.660640
1643.00,0.252280
1618.00,0.589860
1588.00,0.828740
1548.00,0.762360
1598.00,0.793320
1553.00,0.772280
1628.00,0.141000
1603.00,0.714200
1653.00,0.709540
1573.00,0.835000
1673.00,0.824660
1663.00,0.778260
1568.00,0.829900
1543.00,0.751360
1538.00,0.743080
1638.00,0.038180
1613.00,0.634280
1623.00,0.372080
1593.00,0.815120
1668.00,0.808000
1633.00,0.014460
1583.00,0.833940
1658.00,0.750560
1533.00,0.739980
