# Wavenumber	Transmittence
618.00	0.423320
738.00	0.642620
653.00	0.606540
573.00	0.869620
663.00	0.734280
578.00	0.897060
658.00	0.696980
593.00	0.880000
708.00	0.682300
643.00	0.355060
583.00	0.903520
703.00	0.795620
723.00	0.167980
678.00	0.856640
743.00	0.669540
608.00	0.719520
628.00	0.200780
633.00	0.192220
718.00	0.282020
598.00	0.850040
733.00	0.492340
638.00	0.240280
713.00	0.475280
648.00	0.473640
623.00	0.278580
728.00	0.314140
698.00	0.837460
693.00	0.856040
673.00	0.833600
588.00	0.899200
603.00	0.802140
688.00	0.866820
668.00	0.794980
613.00	0.568440
683.00	0.867400
