# Wavenumber,Transmittence
3213.00,0.877380
3298.00,0.924920
3203.00,0.861000
3113.00,0.733960
3233.00,0.899580
3128.00,0.763820
3138.00,0.776260
3123.00,0.755640
3288.00,0.924060
3268.00,0.910820
3143.00,0.781380
3163.00,0.798300
3258.00,0.899220
3263.00,0.902140
3133.00,0.770080
3188.00,0.829000
3183.00,0.817680
3153.00,0.790220
3218.00,0.883900
3243.00,0.901860
3223.00,0.889800
3173.00,0.806300
3193.00,0.842300
3248.00,0.901860
3178.00,0.811160
3148.00,0.785800
3293.00,0.924660
3228.00,0.895180
3168.00,0.802300
3238.00,0.901400
3208.00,0.869780
3158.00,0.794300
3278.00,0.921440
3253.00,0.900520
3198.00,0.851660
3273.00,0.918280
3118.00,0.746340
3283.00,0.923060
