# Wavenumber,Transmittence
1323.00,0.586300
1318.00,0.579540
1168.00,0.795920
1193.00,0.729540
1313.00,0.579980
1258.00,0.627020
1368.00,0.236680
1333.00,0.488520
1278.00,0.623640
1243.00,0.732320
1233.00,0.777460
1183.00,0.748240
1203.00,0.731200
1253.00,0.672620
1223.00,0.729260
1208.00,0.733820
1238.00,0.764300
1348.00,0.451640
1283.00,0.564080
1328.00,0.562720
1303.00,0.548680
1213.00,0.736500
1388.00,0.508960
1173.00,0.793660
1273.00,0.638200
1393.00,0.505780
1263.00,0.585940
1163.00,0.782640
1308.00,0.586120
1343.00,0.440060
1228.00,0.770480
1218.00,0.708200
1198.00,0.737460
1288.00,0.507500
1373.00,0.080600
1358.00,0.439920
1188.00,0.729740
1378.00,0.265000
1293.00,0.487600
1298.00,0.497280
1268.00,0.603100
1363.00,0.366740
1178.00,0.773920
1338.00,0.440960
1353.00,0.469620
1398.00,0.439500
1158.00,0.764820
1248.00,0.699680
1383.00,0.464820
