# Wavenumber,Transmittence
988.00,0.005060
1013.00,0.442080
918.00,0.099720
858.00,0.629780
933.00,0.378700
838.00,0.702940
963.00,0.312000
953.00,0.488880
1028.00,0.577260
903.00,0.000000
888.00,0.096820
908.00,0.000000
1023.00,0.567580
863.00,0.605760
878.00,0.233460
983.00,0.013940
923.00,0.205800
993.00,0.009320
998.00,0.068820
893.00,0.028740
978.00,0.050020
1018.00,0.512160
1003.00,0.175940
843.00,0.665360
948.00,0.519780
873.00,0.375400
898.00,0.006620
973.00,0.133100
938.00,0.454160
968.00,0.222560
913.00,0.008100
853.00,0.638460
943.00,0.503620
848.00,0.647340
958.00,0.401440
883.00,0.189000
868.00,0.530020
1008.00,0.306100
928.00,0.292200
