# Wavenumber,Transmittence
3263.00,0.902140
3173.00,0.806300
3238.00,0.901400
3228.00,0.895180
3158.00,0.794300
3303.00,0.924900
3248.00,0.901860
3208.00,0.869780
3308.00,0.924260
3148.00,0.785800
3123.00,0.755640
3283.00,0.923060
3198.00,0.851660
3163.00,0.798300
3278.00,0.921440
3183.00,0.817680
3133.00,0.770080
3128.00,0.763820
3143.00,0.781380
3188.00,0.829000
3293.00,0.924660
3203.00,0.861000
3193.00,0.842300
3288.00,0.924060
3118.00,0.746340
3268.00,0.910820
3258.00,0.899220
3223.00,0.889800
3243.00,0.901860
3178.00,0.811160
3218.00,0.883900
3233.00,0.899580
3298.00,0.924920
3113.00,0.733960
3253.00,0.900520
3168.00,0.802300
3213.00,0.877380
3138.00,0.776260
3273.00,0.918280
3153.00,0.790220
