# Wavenumber	Transmittence
673.00	0.833600
823.00	0.764060
663.00	0.734280
648.00	0.473640
788.00	0.766380
738.00	0.642620
638.00	0.240280
783.00	0.774300
818.00	0.735980
768.00	0.742980
658.00	0.696980
833.00	0.757620
773.00	0.789160
838.00	0.702940
683.00	0.867400
643.00	0.355060
743.00	0.669540
803.00	0.781540
763.00	0.679900
693.00	0.856040
703.00	0.795620
748.00	0.661460
813.00	0.723640
688.00	0.866820
798.00	0.795320
633.00	0.192220
808.00	0.737280
668.00	0.794980
653.00	0.606540
793.00	0.785800
753.00	0.607920
758.00	0.619080
733.00	0.492340
698.00	0.837460
828.00	0.769880
718.00	0.282020
728.00	0.314140
723.00	0.167980
778.00	0.796080
678.00	0.856640
708.00	0.682300
713.00	0.475280
