# Wavenumber,Transmittence
2443.00,0.908580
2483.00,0.905320
2508.00,0.887380
2388.00,0.909000
2463.00,0.913180
2378.00,0.899380
2458.00,0.913000
2488.00,0.902660
2398.00,0.910280
2478.00,0.907820
2428.00,0.903460
2513.00,0.879700
2423.00,0.903180
2418.00,0.903880
2408.00,0.907160
2453.00,0.912080
2403.00,0.908920
2503.00,0.892480
2413.00,0.905240
2433.00,0.904540
2468.00,0.912360
2448.00,0.910380
2438.00,0.906560
2498.00,0.896620
2473.00,0.910300
2383.00,0.904940
2493.00,0.899920
2393.00,0.910800
