# Wavenumber,Transmittence
3748.00,0.903880
3743.00,0.902380
3783.00,0.904540
3713.00,0.913640
3773.00,0.904620
3723.00,0.910440
3758.00,0.904380
3803.00,0.909420
3698.00,0.908800
3793.00,0.908480
3798.00,0.910080
3823.00,0.901640
3778.00,0.904600
3808.00,0.907400
3738.00,0.897360
3753.00,0.904180
3768.00,0.904600
3708.00,0.912760
3678.00,0.911820
3688.00,0.908480
3788.00,0.905680
3718.00,0.913340
3693.00,0.907880
3683.00,0.910140
3818.00,0.902660
3813.00,0.904820
3728.00,0.904760
3733.00,0.897780
3763.00,0.904540
3703.00,0.910520
