# Wavenumber	Transmittence
2378.00	0.899380
2293.00	0.896120
2278.00	0.893420
2313.00	0.898400
2388.00	0.909000
2248.00	0.903160
2268.00	0.892720
2273.00	0.893020
2363.00	0.889240
2353.00	0.887220
2403.00	0.908920
2338.00	0.887380
2288.00	0.895020
2253.00	0.899620
2413.00	0.905240
2373.00	0.895280
2303.00	0.898800
2418.00	0.903880
2343.00	0.886860
2323.00	0.892460
2328.00	0.889860
2298.00	0.897380
2358.00	0.887740
2398.00	0.910280
2258.00	0.895420
2423.00	0.903180
2408.00	0.907160
2318.00	0.895560
2263.00	0.893440
2283.00	0.894180
2393.00	0.910800
2348.00	0.886980
2428.00	0.903460
2368.00	0.891440
2308.00	0.899820
2333.00	0.888080
2383.00	0.904940
