# Wavenumber,Transmittence
458.00,0.922520
518.00,0.960580
448.00,0.874140
573.00,0.869620
528.00,0.950260
533.00,0.923380
403.00,0.771160
478.00,0.945800
558.00,0.696380
468.00,0.949560
598.00,0.850040
453.00,0.898200
503.00,0.969080
408.00,0.783920
493.00,0.950040
563.00,0.766400
473.00,0.949980
513.00,0.964220
488.00,0.943380
548.00,0.628080
443.00,0.848700
423.00,0.840660
508.00,0.967200
413.00,0.809500
438.00,0.838800
538.00,0.876660
418.00,0.825480
463.00,0.942020
543.00,0.757220
433.00,0.846880
553.00,0.604740
483.00,0.942020
498.00,0.963340
583.00,0.903520
578.00,0.897060
568.00,0.813040
588.00,0.899200
523.00,0.955580
428.00,0.849780
593.00,0.880000
