# Wavenumber Transmittence
798.00 0.795320
743.00 0.669540
748.00 0.661460
778.00 0.796080
848.00 0.647340
793.00 0.785800
808.00 0.737280
758.00 0.619080
788.00 0.766380
773.00 0.789160
853.00 0.638460
883.00 0.189000
813.00 0.723640
858.00 0.629780
908.00 0.000000
928.00 0.292200
923.00 0.205800
918.00 0.099720
833.00 0.757620
843.00 0.665360
913.00 0.008100
863.00 0.605760
888.00 0.096820
728.00 0.314140
868.00 0.530020
753.00 0.607920
768.00 0.742980
903.00 0.000000
803.00 0.781540
823.00 0.764060
738.00 0.642620
893.00 0.028740
733.00 0.492340
873.00 0.375400
838.00 0.702940
878.00 0.233460
933.00 0.378700
898.00 0.006620
828.00 0.769880
763.00 0.679900
783.00 0.774300
818.00 0.735980
