# Wavenumber	Transmittence
863.00	0.605760
943.00	0.503620
758.00	0.619080
833.00	0.757620
823.00	0.764060
763.00	0.679900
928.00	0.292200
843.00	0.665360
898.00	0.006620
808.00	0.737280
793.00	0.785800
818.00	0.735980
933.00	0.378700
768.00	0.742980
853.00	0.638460
908.00	0.000000
828.00	0.769880
883.00	0.189000
948.00	0.519780
888.00	0.096820
783.00	0.774300
858.00	0.629780
923.00	0.205800
773.00	0.789160
953.00	0.488880
873.00	0.375400
878.00	0.233460
848.00	0.647340
788.00	0.766380
913.00	0.008100
938.00	0.454160
893.00	0.028740
918.00	0.099720
798.00	0.795320
813.00	0.723640
803.00	0.781540
778.00	0.796080
903.00	0.000000
868.00	0.530020
838.00	0.702940
