# Wavenumber	Transmittence
1778.00	0.906720
1648.00	0.442200
1698.00	0.847680
1733.00	0.903820
1608.00	0.660640
1743.00	0.912520
1728.00	0.900280
1638.00	0.038180
1683.00	0.845840
1783.00	0.899780
1693.00	0.839140
1613.00	0.634280
1673.00	0.824660
1623.00	0.372080
1688.00	0.847560
1663.00	0.778260
1708.00	0.882440
1628.00	0.141000
1773.00	0.914020
1763.00	0.918620
1768.00	0.917640
1668.00	0.808000
1603.00	0.714200
1618.00	0.589860
1758.00	0.917680
1653.00	0.709540
1583.00	0.833940
1598.00	0.793320
1678.00	0.837220
1633.00	0.014460
1588.00	0.828740
1713.00	0.885600
1723.00	0.895780
1753.00	0.914400
1703.00	0.873360
1658.00	0.750560
1643.00	0.252280
1748.00	0.912740
1593.00	0.815120
1738.00	0.909520
1718.00	0.891240
