# Wavenumber,Transmittence
2783.00,0.394620
2753.00,0.619800
2813.00,0.101540
2928.00,0.000000
2758.00,0.605920
2718.00,0.579500
2893.00,0.000000
2768.00,0.548040
2843.00,0.000980
2708.00,0.643700
2803.00,0.195120
2873.00,0.000000
2923.00,0.000000
2778.00,0.452380
2823.00,0.020160
2703.00,0.659740
2913.00,0.000000
2898.00,0.000000
2888.00,0.000000
2833.00,0.006780
2878.00,0.000000
2943.00,0.000000
2838.00,0.003820
2883.00,0.000000
2808.00,0.148380
2848.00,0.000000
2728.00,0.597800
2723.00,0.579580
2738.00,0.632040
2798.00,0.241540
2868.00,0.000000
2828.00,0.009860
2853.00,0.000000
2933.00,0.000000
2788.00,0.336880
2748.00,0.627080
2948.00,0.000000
2858.00,0.000000
2863.00,0.000000
2918.00,0.000000
2903.00,0.000000
2733.00,0.620220
2793.00,0.281260
2763.00,0.584880
2818.00,0.055400
2773.00,0.506680
2743.00,0.630200
2908.00,0.000000
2938.00,0.000000
2713.00,0.598800
