# Wavenumber	Transmittence
513.00	0.964220
468.00	0.949560
518.00	0.960580
478.00	0.945800
543.00	0.757220
463.00	0.942020
438.00	0.838800
423.00	0.840660
528.00	0.950260
458.00	0.922520
533.00	0.923380
443.00	0.848700
498.00	0.963340
488.00	0.943380
563.00	0.766400
483.00	0.942020
408.00	0.783920
428.00	0.849780
548.00	0.628080
503.00	0.969080
453.00	0.898200
583.00	0.903520
493.00	0.950040
558.00	0.696380
433.00	0.846880
523.00	0.955580
588.00	0.899200
553.00	0.604740
573.00	0.869620
418.00	0.825480
568.00	0.813040
508.00	0.967200
413.00	0.809500
578.00	0.897060
448.00	0.874140
403.00	0.771160
538.00	0.876660
473.00	0.949980
