# Wavenumber,Transmittence
1133.00,0.672480
1053.00,0.556440
1158.00,0.764820
1203.00,0.731200
1173.00,0.793660
1108.00,0.561260
1198.00,0.737460
1058.00,0.587800
1113.00,0.605700
1223.00,0.729260
1148.00,0.728900
1183.00,0.748240
1063.00,0.618180
1208.00,0.733820
1048.00,0.531900
1128.00,0.698740
1143.00,0.690740
1073.00,0.636020
1218.00,0.708200
1193.00,0.729540
1088.00,0.716240
1138.00,0.672820
1118.00,0.662200
1123.00,0.705980
1098.00,0.662220
1168.00,0.795920
1103.00,0.594500
1083.00,0.672640
1078.00,0.648980
1153.00,0.750840
1213.00,0.736500
1178.00,0.773920
1163.00,0.782640
1068.00,0.630240
1188.00,0.729740
1093.00,0.716120
1228.00,0.770480
1043.00,0.556240
