# Wavenumber	Transmittence
508.00	0.967200
468.00	0.949560
443.00	0.848700
498.00	0.963340
538.00	0.876660
553.00	0.604740
488.00	0.943380
503.00	0.969080
583.00	0.903520
528.00	0.950260
543.00	0.757220
478.00	0.945800
473.00	0.949980
423.00	0.840660
453.00	0.898200
403.00	0.771160
483.00	0.942020
518.00	0.960580
418.00	0.825480
463.00	0.942020
413.00	0.809500
533.00	0.923380
568.00	0.813040
548.00	0.628080
523.00	0.955580
458.00	0.922520
563.00	0.766400
438.00	0.838800
433.00	0.846880
578.00	0.897060
573.00	0.869620
588.00	0.899200
428.00	0.849780
448.00	0.874140
408.00	0.783920
493.00	0.950040
513.00	0.964220
558.00	0.696380
593.00	0.880000
