# Wavenumber,Transmittence
723.00,0.167980
828.00,0.769880
683.00,0.867400
733.00,0.492340
778.00,0.796080
698.00,0.837460
718.00,0.282020
728.00,0.314140
783.00,0.774300
818.00,0.735980
688.00,0.866820
833.00,0.757620
758.00,0.619080
753.00,0.607920
693.00,0.856040
748.00,0.661460
768.00,0.742980
823.00,0.764060
798.00,0.795320
773.00,0.789160
738.00,0.642620
813.00,0.723640
708.00,0.682300
703.00,0.795620
838.00,0.702940
678.00,0.856640
808.00,0.737280
788.00,0.766380
713.00,0.475280
743.00,0.669540
803.00,0.781540
763.00,0.679900
793.00,0.785800
