# Wavenumber Transmittence
3218.00 0.883900
3208.00 0.869780
3158.00 0.794300
3123.00 0.755640
3108.00 0.719040
3193.00 0.842300
3188.00 0.829000
3213.00 0.877380
3223.00 0.889800
3113.00 0.733960
3148.00 0.785800
3228.00 0.895180
3238.00 0.901400
3163.00 0.798300
3138.00 0.776260
3118.00 0.746340
3233.00 0.899580
3198.00 0.851660
3128.00 0.763820
3183.00 0.817680
3153.00 0.790220
3173.00 0.806300
3178.00 0.811160
3143.00 0.781380
3168.00 0.802300
3243.00 0.901860
3203.00 0.861000
3133.00 0.770080
