# Wavenumber	Transmittence
2128.00	0.925460
2158.00	0.913580
2103.00	0.927700
2198.00	0.912300
2193.00	0.911920
2223.00	0.913020
2178.00	0.909900
2133.00	0.923900
2113.00	0.927600
2203.00	0.911800
2143.00	0.919200
2153.00	0.915100
2098.00	0.927620
2208.00	0.911700
2123.00	0.926480
2138.00	0.921660
2218.00	0.912360
2168.00	0.911500
2108.00	0.927700
2148.00	0.916820
2093.00	0.927340
2233.00	0.912420
2213.00	0.911820
2173.00	0.910520
2228.00	0.913360
2088.00	0.925120
2163.00	0.912500
2188.00	0.911020
2183.00	0.909940
2118.00	0.927280
