# Wavenumber	Transmittence
1498.00	0.664140
1493.00	0.626360
1538.00	0.743080
1518.00	0.732660
1393.00	0.505780
1488.00	0.588360
1323.00	0.586300
1503.00	0.690140
1358.00	0.439920
1348.00	0.451640
1443.00	0.012640
1468.00	0.087700
1483.00	0.527500
1368.00	0.236680
1478.00	0.435360
1543.00	0.751360
1403.00	0.295640
1343.00	0.440060
1383.00	0.464820
1428.00	0.047040
1333.00	0.488520
1353.00	0.469620
1408.00	0.165780
1423.00	0.112960
1433.00	0.019100
1458.00	0.000080
1363.00	0.366740
1528.00	0.743420
1338.00	0.440960
1398.00	0.439500
1438.00	0.016860
1533.00	0.739980
1388.00	0.508960
1508.00	0.708780
1373.00	0.080600
1378.00	0.265000
1523.00	0.746160
1513.00	0.723260
1448.00	0.005400
1453.00	0.000200
1418.00	0.199220
1413.00	0.200640
1328.00	0.562720
1463.00	0.000100
1473.00	0.267720
