# Wavenumber Transmittence
3083.00 0.464320
3213.00 0.877380
3128.00 0.763820
3143.00 0.781380
3053.00 0.069360
3103.00 0.700580
3108.00 0.719040
3208.00 0.869780
3088.00 0.523160
3118.00 0.746340
3178.00 0.811160
3093.00 0.627860
3188.00 0.829000
3048.00 0.116000
3078.00 0.405460
3113.00 0.733960
3123.00 0.755640
3068.00 0.013240
3063.00 0.019160
3073.00 0.099560
3098.00 0.682720
3158.00 0.794300
3148.00 0.785800
3198.00 0.851660
3038.00 0.230000
3193.00 0.842300
3153.00 0.790220
3138.00 0.776260
3168.00 0.802300
3173.00 0.806300
3218.00 0.883900
3133.00 0.770080
3043.00 0.173000
3163.00 0.798300
3183.00 0.817680
3058.00 0.043120
3203.00 0.861000
