# Wavenumber	Transmittence
2573.00	0.793880
2453.00	0.912080
2503.00	0.892480
2598.00	0.764120
2518.00	0.870140
2578.00	0.789300
2538.00	0.843560
2508.00	0.887380
2588.00	0.780260
2443.00	0.908580
2468.00	0.912360
2613.00	0.741900
2458.00	0.913000
2638.00	0.692800
2618.00	0.734860
2558.00	0.810440
2563.00	0.804220
2608.00	0.749120
2623.00	0.728180
2498.00	0.896620
2493.00	0.899920
2533.00	0.854980
2513.00	0.879700
2553.00	0.817120
2473.00	0.910300
2523.00	0.867640
2548.00	0.824200
2603.00	0.756500
2488.00	0.902660
2483.00	0.905320
2583.00	0.785300
2628.00	0.723780
2543.00	0.831960
2448.00	0.910380
2633.00	0.710800
2478.00	0.907820
2528.00	0.862980
2463.00	0.913180
2568.00	0.798580
2593.00	0.772120
