# Wavenumber	Transmittence
1828.00	0.731060
1833.00	0.799260
1768.00	0.917640
1918.00	0.925340
1778.00	0.906720
1758.00	0.917680
1943.00	0.933580
1753.00	0.914400
1788.00	0.887320
1853.00	0.904820
1838.00	0.845420
1783.00	0.899780
1803.00	0.619460
1813.00	0.409300
1908.00	0.925380
1763.00	0.918620
1893.00	0.909760
1743.00	0.912520
1903.00	0.923560
1883.00	0.905060
1948.00	0.928500
1898.00	0.916580
1858.00	0.915280
1798.00	0.783180
1923.00	0.927740
1933.00	0.936200
1818.00	0.456060
1938.00	0.935920
1873.00	0.914480
1913.00	0.924740
1808.00	0.460740
1928.00	0.931500
1848.00	0.892980
1793.00	0.863300
1738.00	0.909520
1843.00	0.875260
1888.00	0.905620
1823.00	0.628660
1868.00	0.914840
1878.00	0.908780
1773.00	0.914020
1863.00	0.915320
1748.00	0.912740
