# Wavenumber Transmittence
1308.00 0.586120
1368.00 0.236680
1328.00 0.562720
1453.00 0.000200
1373.00 0.080600
1428.00 0.047040
1323.00 0.586300
1448.00 0.005400
1433.00 0.019100
1338.00 0.440960
1313.00 0.579980
1378.00 0.265000
1408.00 0.165780
1478.00 0.435360
1443.00 0.012640
1363.00 0.366740
1493.00 0.626360
1348.00 0.451640
1343.00 0.440060
1473.00 0.267720
1458.00 0.000080
1463.00 0.000100
1393.00 0.505780
1273.00 0.638200
1383.00 0.464820
1318.00 0.579540
1283.00 0.564080
1398.00 0.439500
1403.00 0.295640
1418.00 0.199220
1423.00 0.112960
1303.00 0.548680
1278.00 0.623640
1498.00 0.664140
1353.00 0.469620
1288.00 0.507500
1413.00 0.200640
1483.00 0.527500
1503.00 0.690140
1293.00 0.487600
1438.00 0.016860
1388.00 0.508960
1333.00 0.488520
1488.00 0.588360
1358.00 0.439920
1468.00 0.087700
1298.00 0.497280
