# Wavenumber	Transmittence
728.00	0.314140
573.00	0.869620
608.00	0.719520
628.00	0.200780
638.00	0.240280
643.00	0.355060
648.00	0.473640
593.00	0.880000
698.00	0.837460
603.00	0.802140
633.00	0.192220
668.00	0.794980
658.00	0.696980
718.00	0.282020
558.00	0.696380
623.00	0.278580
693.00	0.856040
723.00	0.167980
673.00	0.833600
568.00	0.813040
688.00	0.866820
563.00	0.766400
683.00	0.867400
663.00	0.734280
578.00	0.897060
653.00	0.606540
583.00	0.903520
678.00	0.856640
553.00	0.604740
598.00	0.850040
548.00	0.628080
708.00	0.682300
618.00	0.423320
613.00	0.568440
713.00	0.475280
588.00	0.899200
703.00	0.795620
