# Wavenumber	Transmittence
743.00	0.669540
788.00	0.766380
763.00	0.679900
698.00	0.837460
658.00	0.696980
708.00	0.682300
713.00	0.475280
778.00	0.796080
798.00	0.795320
733.00	0.492340
693.00	0.856040
723.00	0.167980
738.00	0.642620
663.00	0.734280
793.00	0.785800
768.00	0.742980
748.00	0.661460
653.00	0.606540
673.00	0.833600
678.00	0.856640
753.00	0.607920
783.00	0.774300
668.00	0.794980
648.00	0.473640
718.00	0.282020
758.00	0.619080
703.00	0.795620
688.00	0.866820
683.00	0.867400
773.00	0.789160
728.00	0.314140
