# Wavenumber Transmittence
2188.00 0.911020
2193.00 0.911920
2208.00 0.911700
2253.00 0.899620
2273.00 0.893020
2328.00 0.889860
2228.00 0.913360
2263.00 0.893440
2358.00 0.887740
2338.00 0.887380
2203.00 0.911800
2238.00 0.909660
2353.00 0.887220
2343.00 0.886860
2318.00 0.895560
2363.00 0.889240
2298.00 0.897380
2213.00 0.911820
2378.00 0.899380
2293.00 0.896120
2368.00 0.891440
2348.00 0.886980
2373.00 0.895280
2243.00 0.906420
2283.00 0.894180
2233.00 0.912420
2323.00 0.892460
2258.00 0.895420
2313.00 0.898400
2248.00 0.903160
2303.00 0.898800
2183.00 0.909940
2278.00 0.893420
2223.00 0.913020
2308.00 0.899820
2268.00 0.892720
2288.00 0.895020
2333.00 0.888080
2198.00 0.912300
2218.00 0.912360
