# Wavenumber	Transmittence
831.88	0.984400
742.81	1.007000
667.81	1.011400
681.88	1.007200
822.50	0.986000
799.06	0.985000
780.31	0.993800
719.38	1.015000
714.69	1.013400
756.88	1.006200
850.63	0.945800
888.13	0.772040
691.25	1.008000
808.44	0.984800
705.31	1.013000
752.19	1.006200
663.13	1.007800
672.50	1.002000
878.75	0.773480
695.94	1.009600
874.06	0.803000
785.00	0.991400
803.75	0.984000
775.63	0.998000
733.44	1.009000
813.13	0.985000
700.63	1.012200
766.25	1.004000
747.50	1.007400
845.94	0.969200
770.94	1.000800
855.31	0.912600
794.38	0.986800
860.00	0.862200
836.56	0.981400
724.06	1.020200
883.44	0.777200
686.56	1.008000
864.69	0.821200
841.25	0.978400
710.00	1.013200
677.19	0.999400
738.13	1.007400
827.19	0.985800
869.38	0.796200
728.75	1.012800
817.81	0.985400
761.56	1.005000
789.69	0.988600
