# Wavenumber,Transmittence
1324.06,0.893200
1347.50,0.844600
1352.19,0.808600
1314.69,0.897200
1436.56,0.813600
1361.56,0.701200
1450.63,0.784220
1277.19,0.846200
1328.75,0.890200
1366.25,0.638260
1295.94,0.896800
1281.88,0.869800
1333.44,0.883800
1310.00,0.899000
1338.13,0.874800
1319.38,0.895600
1286.56,0.880600
1385.00,0.496000
1291.25,0.892200
1380.31,0.479600
1427.19,0.792000
1258.44,0.663800
1445.94,0.816800
1431.88,0.807800
1455.31,0.813000
1375.63,0.506220
1441.25,0.818000
1399.06,0.564800
1394.38,0.406700
1300.63,0.899000
1408.44,0.518000
1403.75,0.515400
1389.69,0.514420
1267.81,0.765600
1464.69,0.867600
1370.94,0.554400
1272.50,0.814200
1469.38,0.871200
1460.00,0.858400
1342.81,0.861000
1413.13,0.585120
1305.31,0.899000
1417.81,0.667580
1356.88,0.758040
1263.13,0.715760
1422.50,0.752380
