# Wavenumber Transmittence
2599.06 0.998000
2674.06 0.979840
2631.88 0.988000
2706.88 0.969560
2688.13 0.977280
2519.38 1.001000
2645.94 0.985060
2655.31 0.984000
2622.50 0.990200
2711.56 0.965360
2627.19 0.988420
2636.56 0.986800
2585.00 0.999880
2510.00 1.001000
2547.50 1.001000
2683.44 0.978060
2524.06 1.001000
2664.69 0.982000
2702.19 0.972100
2533.44 1.001000
2608.44 0.994080
2589.69 0.998080
2697.50 0.974280
2678.75 0.978960
2561.56 1.001000
2716.25 0.960720
2528.75 1.001000
2570.94 1.000000
2556.88 1.001000
2617.81 0.991040
2594.38 0.998000
2542.81 1.001000
2580.31 1.000000
2660.00 0.982440
2566.25 1.000580
2538.13 1.001000
2514.69 1.001000
2650.63 0.984220
2603.75 0.997080
2552.19 1.001000
2669.38 0.981220
2613.13 0.991940
2720.94 0.957820
2641.25 0.985960
2575.63 1.000000
2692.81 0.975820
