# Wavenumber	Transmittence
1333.44	0.883800
1249.06	0.623400
1277.19	0.846200
1319.38	0.895600
1394.38	0.406700
1399.06	0.564800
1314.69	0.897200
1300.63	0.899000
1366.25	0.638260
1239.69	0.671620
1347.50	0.844600
1220.94	0.694800
1216.25	0.750440
1295.94	0.896800
1310.00	0.899000
1361.56	0.701200
1230.31	0.652200
1389.69	0.514420
1342.81	0.861000
1370.94	0.554400
1235.00	0.678580
1324.06	0.893200
1244.38	0.655800
1352.19	0.808600
1338.13	0.874800
1385.00	0.496000
1375.63	0.506220
1305.31	0.899000
1267.81	0.765600
1225.63	0.657200
1356.88	0.758040
1380.31	0.479600
1272.50	0.814200
1211.56	0.808200
1263.13	0.715760
1281.88	0.869800
1328.75	0.890200
1286.56	0.880600
1253.75	0.642400
1258.44	0.663800
1291.25	0.892200
