# Wavenumber	Transmittence
672.50	1.002000
785.00	0.991400
733.44	1.009000
710.00	1.013200
756.88	1.006200
724.06	1.020200
681.88	1.007200
686.56	1.008000
808.44	0.984800
677.19	0.999400
700.63	1.012200
691.25	1.008000
794.38	0.986800
789.69	0.988600
667.81	1.011400
752.19	1.006200
738.13	1.007400
799.06	0.985000
728.75	1.012800
761.56	1.005000
817.81	0.985400
747.50	1.007400
714.69	1.013400
770.94	1.000800
742.81	1.007000
803.75	0.984000
780.31	0.993800
766.25	1.004000
775.63	0.998000
705.31	1.013000
695.94	1.009600
719.38	1.015000
813.13	0.985000
