# Wavenumber Transmittence
770.94 1.000800
813.13 0.985000
878.75 0.773480
752.19 1.006200
911.56 0.903400
883.44 0.777200
794.38 0.986800
785.00 0.991400
789.69 0.988600
897.50 0.777400
845.94 0.969200
747.50 1.007400
799.06 0.985000
738.13 1.007400
864.69 0.821200
733.44 1.009000
925.63 0.976000
855.31 0.912600
756.88 1.006200
920.94 0.963400
874.06 0.803000
906.88 0.846960
803.75 0.984000
827.19 0.985800
930.31 0.983400
808.44 0.984800
836.56 0.981400
860.00 0.862200
780.31 0.993800
831.88 0.984400
761.56 1.005000
869.38 0.796200
916.25 0.938800
841.25 0.978400
728.75 1.012800
888.13 0.772040
742.81 1.007000
902.19 0.798200
766.25 1.004000
822.50 0.986000
817.81 0.985400
850.63 0.945800
775.63 0.998000
892.81 0.761400
