# Wavenumber,Transmittence
531.88,0.969000
644.38,1.007000
564.69,0.981200
466.25,0.968000
630.31,1.002400
597.50,0.994000
517.81,0.969000
653.75,1.007400
583.44,0.988800
499.06,0.970400
625.63,1.001200
485.00,0.972000
620.94,1.000400
592.81,0.992400
480.31,0.970000
550.63,0.972000
578.75,0.988200
503.75,0.970000
611.56,0.997200
569.38,0.983200
555.31,0.974400
588.13,0.991400
470.94,0.968800
527.19,0.969000
639.69,1.005000
475.63,0.969400
602.19,0.994800
513.13,0.969400
606.88,0.995400
536.56,0.970000
541.25,0.970000
649.06,1.007800
635.00,1.004200
489.69,0.972000
560.00,0.978000
508.44,0.970000
574.06,0.985600
616.25,0.998800
461.56,0.966000
545.94,0.970000
494.38,0.972000
522.50,0.969000
