# Wavenumber	Transmittence
742.81	1.007000
700.63	1.012200
775.63	0.998000
710.00	1.013200
761.56	1.005000
799.06	0.985000
733.44	1.009000
714.69	1.013400
822.50	0.986000
728.75	1.012800
845.94	0.969200
770.94	1.000800
808.44	0.984800
695.94	1.009600
691.25	1.008000
752.19	1.006200
705.31	1.013000
803.75	0.984000
813.13	0.985000
836.56	0.981400
789.69	0.988600
817.81	0.985400
719.38	1.015000
724.06	1.020200
780.31	0.993800
794.38	0.986800
785.00	0.991400
831.88	0.984400
766.25	1.004000
738.13	1.007400
841.25	0.978400
756.88	1.006200
827.19	0.985800
747.50	1.007400
