# Wavenumber,Transmittence
756.88,1.006200
855.31,0.912600
841.25,0.978400
860.00,0.862200
766.25,1.004000
836.56,0.981400
831.88,0.984400
775.63,0.998000
785.00,0.991400
845.94,0.969200
728.75,1.012800
733.44,1.009000
799.06,0.985000
869.38,0.796200
789.69,0.988600
742.81,1.007000
752.19,1.006200
850.63,0.945800
864.69,0.821200
738.13,1.007400
827.19,0.985800
714.69,1.013400
822.50,0.986000
808.44,0.984800
817.81,0.985400
719.38,1.015000
874.06,0.803000
705.31,1.013000
770.94,1.000800
747.50,1.007400
761.56,1.005000
724.06,1.020200
813.13,0.985000
700.63,1.012200
803.75,0.984000
710.00,1.013200
780.31,0.993800
794.38,0.986800
