# Wavenumber	Transmittence
3555.31	0.995960
3560.00	0.993520
3602.19	0.975200
3513.13	1.004000
3517.81	1.004000
3508.44	1.002360
3503.75	1.002000
3494.38	1.001780
3522.50	1.003240
3527.19	1.002000
3616.25	0.941820
3531.88	1.001180
3536.56	1.000060
3499.06	1.002000
3611.56	0.956740
3569.38	0.990360
3574.06	0.990840
3485.00	1.001000
3588.13	0.986180
3564.69	0.991080
3550.63	0.998460
3583.44	0.988080
3480.31	1.001000
3475.63	1.000380
3606.88	0.968020
3489.69	1.001000
3541.25	1.000000
3597.50	0.980200
3592.81	0.984180
3545.94	1.000000
3578.75	0.989500
