# Wavenumber	Transmittence
2435.00	0.994000
2378.75	0.999760
2374.06	1.000300
2275.63	0.990120
2406.88	0.994900
2294.38	0.997000
2285.00	0.993120
2449.06	0.995000
2336.56	0.997200
2402.19	0.995600
2341.25	0.994240
2270.94	0.989000
2439.69	0.994300
2345.94	0.994340
2369.38	1.001000
2313.13	1.001000
2383.44	0.997700
2350.63	0.997660
2280.31	0.991780
2420.94	0.992000
2444.38	0.995000
2289.69	0.994840
2416.25	0.992000
2364.69	1.001000
2397.50	0.997000
2308.44	1.001000
2392.81	0.997000
2303.75	1.000920
2327.19	1.000660
2266.25	0.989840
2355.31	1.000340
2463.13	0.997000
2261.56	0.991000
2299.06	0.999540
2252.19	0.994620
2467.81	0.997000
2411.56	0.993400
2458.44	0.996980
2322.50	1.001000
2331.88	0.999720
2453.75	0.995180
2430.31	0.994000
2247.50	0.995840
2388.13	0.997000
2425.63	0.992200
2256.88	0.992660
2317.81	1.001000
2360.00	1.001000
