# Wavenumber,Transmittence
766.25,1.004000
855.31,0.912600
869.38,0.796200
897.50,0.777400
794.38,0.986800
817.81,0.985400
888.13,0.772040
803.75,0.984000
724.06,1.020200
808.44,0.984800
733.44,1.009000
841.25,0.978400
813.13,0.985000
789.69,0.988600
878.75,0.773480
822.50,0.986000
850.63,0.945800
860.00,0.862200
761.56,1.005000
911.56,0.903400
780.31,0.993800
831.88,0.984400
799.06,0.985000
827.19,0.985800
902.19,0.798200
738.13,1.007400
752.19,1.006200
845.94,0.969200
747.50,1.007400
719.38,1.015000
864.69,0.821200
775.63,0.998000
836.56,0.981400
785.00,0.991400
892.81,0.761400
906.88,0.846960
756.88,1.006200
728.75,1.012800
770.94,1.000800
742.81,1.007000
883.44,0.777200
874.06,0.803000
