# Wavenumber Transmittence
3142.81 1.000000
3222.50 0.991100
3236.56 0.995600
3245.94 0.998600
3241.25 0.997100
3199.06 0.994660
3175.63 1.000000
3152.19 1.000000
3185.00 0.997860
3217.81 0.991000
3269.38 1.004400
3203.75 0.992960
3208.44 0.992000
3180.31 0.999320
3124.06 1.000000
3128.75 1.000000
3231.88 0.994100
3213.13 0.991500
3227.19 0.992640
3166.25 1.001000
3156.88 1.000000
3250.63 1.000100
3114.69 0.998060
3170.94 1.000260
3255.31 1.001000
3161.56 1.000340
3260.00 1.001900
3147.50 1.000000
3264.69 1.002600
3119.38 0.999860
3189.69 0.997000
3133.44 1.000000
3194.38 0.995960
3138.13 1.000000
