# Wavenumber Transmittence
2861.56 0.562760
2899.06 0.321880
2824.06 0.845640
2852.19 0.669460
2791.25 0.895560
2847.50 0.702700
2810.00 0.871900
2889.69 0.347080
2917.81 0.361480
2842.81 0.759640
2894.38 0.336200
2913.13 0.353220
2795.94 0.890460
2931.88 0.368600
2866.25 0.513540
2833.44 0.813300
2786.56 0.902220
2781.88 0.908820
2927.19 0.370000
2922.50 0.368180
2908.44 0.323160
2856.88 0.631340
2875.63 0.428260
2885.00 0.370500
2819.38 0.854560
2870.94 0.464620
2838.13 0.790080
2903.75 0.298280
2880.31 0.393660
2828.75 0.831620
2800.63 0.885200
2814.69 0.864300
2805.31 0.878500
